,p,d,q,AIC,BIC,LL,LB_p10_on_val,passes_val_LB@5%
2,0,1,3,-7962.95970246419,-7939.562407192027,3985.479851232095,1.2186376426310104e-05,False
10,2,1,1,-7960.562213784513,-7937.164918512351,3984.2811068922565,5.750882061647541e-05,False
14,3,1,0,-7960.280858841711,-7936.883563569549,3984.1404294208555,1.7942811306148875e-05,False
6,1,1,2,-7957.426933885534,-7934.029638613371,3982.713466942767,0.00018703439161444106,False
7,1,1,3,-7962.636165800689,-7933.389546710486,3986.3180829003445,8.32401563974399e-06,False
9,2,1,0,-7950.5908745807155,-7933.042903126594,3978.2954372903578,9.081987992185941e-05,False
3,0,1,4,-7961.163025180354,-7931.916406090151,3985.581512590177,9.092221857090423e-06,False
15,3,1,1,-7959.520671452579,-7930.274052362376,3984.7603357262897,3.7647612012243666e-05,False
11,2,1,2,-7958.716532061034,-7929.469912970831,3984.358266030517,6.579114521803627e-05,False
19,4,1,0,-7958.498054097932,-7929.251435007729,3984.249027048966,2.390455254235351e-05,False
